Date,Open,High,Low,Close,Adj Close,Volume
2021-05-26,1415.000000,1421.199951,1377.699951,1392.550049,1392.550049,2040422
2021-05-27,1430.000000,1462.150024,1360.000000,1439.800049,1439.800049,30440408
2021-05-28,1421.900024,1469.949951,1413.250000,1444.900024,1444.900024,822133
2021-05-31,1454.000000,1493.000000,1440.400024,1473.599976,1473.599976,464776
2021-06-01,1489.900024,1515.000000,1475.000000,1499.449951,1499.449951,1543382
2021-06-02,1501.000000,1574.000000,1500.949951,1558.250000,1558.250000,1602906
2021-06-03,1581.300049,1630.000000,1540.000000,1577.900024,1577.900024,1519353
2021-06-04,1624.000000,1625.000000,1586.050049,1602.050049,1602.050049,923526
2021-06-07,1616.900024,1644.949951,1552.599976,1589.449951,1589.449951,632473
2021-06-08,1595.000000,1609.000000,1574.000000,1592.599976,1592.599976,790597
2021-06-09,1585.000000,1635.000000,1513.000000,1571.500000,1571.500000,227588
2021-06-10,1597.099976,1609.800049,1570.000000,1589.900024,1589.900024,143589
2021-06-11,1575.000000,1640.000000,1540.000000,1602.599976,1602.599976,184010
2021-06-14,1522.500000,1522.500000,1522.500000,1522.500000,1522.500000,89006
2021-06-15,1446.400024,1466.500000,1446.400024,1446.400024,1446.400024,179102
2021-06-16,1374.099976,1374.099976,1374.099976,1374.099976,1374.099976,70308
2021-06-17,1305.400024,1305.400024,1305.400024,1305.400024,1305.400024,34906
2021-06-18,1240.150024,1240.150024,1240.150024,1240.150024,1240.150024,184482
2021-06-21,1178.150024,1302.150024,1178.150024,1302.150024,1302.150024,850411
2021-06-22,1261.000000,1367.250000,1261.000000,1367.250000,1367.250000,307614
2021-06-23,1403.000000,1409.000000,1298.900024,1321.449951,1321.449951,343449
2021-06-24,1291.000000,1295.050049,1255.400024,1255.650024,1255.650024,304737
2021-06-25,1231.650024,1237.900024,1192.900024,1192.900024,1192.900024,284591
2021-06-28,1134.000000,1200.000000,1133.300049,1159.000000,1159.000000,202876
2021-06-29,1164.099976,1199.800049,1101.050049,1115.199951,1115.199951,334173
2021-06-30,1069.000000,1120.000000,1059.449951,1059.449951,1059.449951,209198
2021-07-01,1006.500000,1006.500000,1006.500000,1006.500000,1006.500000,50565
2021-07-02,956.200012,956.200012,956.200012,956.200012,956.200012,75189
2021-07-05,908.400024,908.400024,908.400024,908.400024,908.400024,51017
2021-07-06,863.000000,953.799988,863.000000,953.799988,953.799988,354633
2021-07-07,940.000000,957.000000,906.150024,939.700012,939.700012,393384
2021-07-08,939.000000,986.650024,925.000000,986.650024,986.650024,226664
2021-07-09,1000.000000,1018.700012,990.400024,1000.500000,1000.500000,140193
2021-07-12,1010.000000,1018.000000,984.200012,1000.400024,1000.400024,281915
2021-07-13,986.150024,1000.000000,951.000000,986.900024,986.900024,200485
2021-07-14,986.900024,999.000000,960.000000,974.150024,974.150024,348684
2021-07-15,989.950012,990.000000,960.000000,980.200012,980.200012,173695
2021-07-16,980.000000,1029.199951,965.000000,1016.549988,1016.549988,171071
2021-07-19,1008.000000,1023.599976,965.750000,968.049988,968.049988,148182
2021-07-20,919.650024,960.000000,919.650024,919.650024,919.650024,60558
2021-07-22,875.000000,965.599976,873.700012,964.549988,964.549988,245402
2021-07-23,950.000000,990.000000,922.599976,963.599976,963.599976,82138
2021-07-26,963.599976,965.000000,930.000000,939.700012,939.700012,56957
2021-07-27,920.000000,945.000000,899.900024,901.099976,901.099976,74722
2021-07-28,900.099976,946.150024,871.000000,940.750000,940.750000,89316
2021-07-29,958.000000,960.000000,894.000000,937.900024,937.900024,83398
2021-07-30,945.000000,950.000000,891.049988,893.450012,893.450012,166571
2021-08-02,911.349976,927.650024,885.000000,908.799988,908.799988,76338
2021-08-03,910.000000,925.000000,900.000000,911.500000,911.500000,163956
2021-08-04,925.500000,939.000000,894.000000,932.200012,932.200012,86138
2021-08-05,915.250000,949.799988,900.000000,947.049988,947.049988,75534
2021-08-06,945.000000,974.950012,930.000000,964.349976,964.349976,124924
2021-08-09,964.000000,965.000000,940.000000,958.799988,958.799988,50534
2021-08-10,964.000000,964.700012,925.000000,948.400024,948.400024,66947
2021-08-11,919.250000,949.000000,901.000000,946.700012,946.700012,119901
2021-08-12,950.000000,959.000000,918.000000,955.049988,955.049988,58601
2021-08-13,929.000000,977.000000,926.000000,971.150024,971.150024,84006
2021-08-16,952.500000,980.000000,925.000000,977.750000,977.750000,51810
2021-08-17,959.000000,1026.599976,959.000000,1024.000000,1024.000000,151970
2021-08-18,1010.000000,1075.199951,1010.000000,1075.199951,1075.199951,112115
2021-08-20,1099.000000,1128.949951,1075.000000,1123.449951,1123.449951,230830
2021-08-23,1157.000000,1179.599976,1150.000000,1179.599976,1179.599976,160423
2021-08-24,1238.550049,1238.550049,1238.550049,1238.550049,1238.550049,56395
2021-08-25,1300.449951,1300.449951,1300.449951,1300.449951,1300.449951,84516
2021-08-26,1365.449951,1365.449951,1365.449951,1365.449951,1365.449951,799750
2021-08-27,1433.699951,1433.699951,1297.199951,1433.699951,1433.699951,744032
2021-08-30,1460.199951,1505.349976,1450.000000,1505.349976,1505.349976,401671
2021-08-31,1521.000000,1580.599976,1520.300049,1580.599976,1580.599976,545234
2021-09-01,1659.599976,1659.599976,1659.599976,1659.599976,1659.599976,792279
2021-09-02,1638.000000,1698.800049,1576.650024,1672.150024,1672.150024,690664
2021-09-03,1740.000000,1755.750000,1590.300049,1750.500000,1750.500000,677648
2021-09-06,1784.000000,1789.000000,1700.000000,1724.550049,1724.550049,499867
2021-09-07,1750.000000,1750.000000,1638.349976,1694.250000,1694.250000,285003
2021-09-08,1689.000000,1748.900024,1638.949951,1733.500000,1733.500000,452814
2021-09-09,1768.150024,1820.150024,1710.550049,1806.750000,1806.750000,621789
2021-09-13,1781.000000,1875.000000,1773.949951,1871.400024,1871.400024,1980397
2021-09-14,1950.000000,1954.150024,1891.449951,1942.699951,1942.699951,1952043
2021-09-15,1990.000000,1990.000000,1922.900024,1944.050049,1944.050049,1338240
2021-09-16,1940.000000,1981.050049,1868.900024,1916.150024,1916.150024,314449
